name,location,total_price,Nbr_of_nights,Nbr_of_persons,room_type,beds,rating,rating_title,number_of_ratings,distance_from_centre,start_date,end_date,breakfast_inclusion,free_cancellation,url
Deffrennes,Lille Sud, 880,30,2,Budget Double Room,1 double bed,5.9,Review score,441 reviews,2.8 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/deffrennes.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=225336806_179896357_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=225336806_179896357_2_0_0&hpos=1&no_rooms=1&sr_order=price&sr_pri_blocks=225336806_179896357_2_0_0__88000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Lille Appartement Hotel 里尔公寓酒店,Lille, 1250,30,2,Apartment,"2 beds(1 double, 1 sofa bed)",8.1,Very good,52 reviews,3.7 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/cozying-apparemment.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=612421701_244291452_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=2&highlighted_blocks=612421701_244291452_2_0_0&hpos=2&no_rooms=1&sr_order=price&sr_pri_blocks=612421701_244291452_2_0_0__124950&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=;has_campaign_deals_traveloffer20_customer_label=1#hotelTmpl
Little Suite - Manon,Vieux Lille, 1260,30,2,Studio (2 Adults),1 large double bed,,,,550 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-suite-manon.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=87760801_91340958_0_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=3&highlighted_blocks=87760801_91340958_0_0_0&hpos=3&no_rooms=1&sr_order=price&sr_pri_blocks=87760801_91340958_0_0_0__126000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Nice apartment near EURALILLE,Lille Centre, 1331,30,2,Studio,1 double bed,,,,700 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/nice-apartment-near-euralille.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=686378802_279119127_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=4&highlighted_blocks=686378802_279119127_2_0_0&hpos=4&no_rooms=1&sr_order=price&sr_pri_blocks=686378802_279119127_2_0_0__133125&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Charming studio close to train station and Old Lille,Fives, 1341,30,2,Studio,2 single beds,,,,1.3 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/charming-studio-close-to-train-station-and-old-lille-lille.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=542530002_265518215_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=5&highlighted_blocks=542530002_265518215_2_0_0&hpos=5&no_rooms=1&sr_order=price&sr_pri_blocks=542530002_265518215_2_0_0__134117&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Modern and bright studio in Vauban district Central Lille,Vauban, 1342,30,2,Studio,1 sofa bed,,,,2 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/modern-and-bright-studio-in-vauban-district-central-lille.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=521900102_265506905_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=6&highlighted_blocks=521900102_265506905_2_0_0&hpos=6&no_rooms=1&sr_order=price&sr_pri_blocks=521900102_265506905_2_0_0__134201&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Little Suite - Pénélope,Lille Centre, 1350,30,2,One-Bedroom Apartment,1 double bed,,,,400 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-suite-penelope.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=423508201_194921652_0_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=7&highlighted_blocks=423508201_194921652_0_0_0&hpos=7&no_rooms=1&sr_order=price&sr_pri_blocks=423508201_194921652_0_0_0__135000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Appartement Vieux Lille,Vieux Lille, 1350,30,2,Apartment,"2 beds(1 sofa bed, 1 large double)",2.3,Review score,13 reviews,250 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/sam-elite-mondial.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=183249201_145833284_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=8&highlighted_blocks=183249201_145833284_2_0_0&hpos=8&no_rooms=1&sr_order=price&sr_pri_blocks=183249201_145833284_2_0_0__135000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Little Suite - Marius et Romain,Lille Centre, 1350,30,2,Romain,1 large double bed,5.3,Review score,5 reviews,500 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/sur-la-ville-lille-appart-lille.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=132333601_184483685_0_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=9&highlighted_blocks=132333601_184483685_0_0_0&hpos=9&no_rooms=1&sr_order=price&sr_pri_blocks=132333601_184483685_0_0_0__135000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Little Suite - Ferdinand,Lille Centre, 1380,30,2,Apartment,"2 beds(1 double, 1 sofa bed)",6.1,Review score,3 reviews,550 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-suite-ferdinand.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=60043201_118480759_0_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=10&highlighted_blocks=60043201_118480759_0_0_0&hpos=10&no_rooms=1&sr_order=price&sr_pri_blocks=60043201_118480759_0_0_0__138000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
